비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","동구","대구환경공단","24시간","","대구광역시 동구 동부로 153별관2층(D15-18)(동구 신천동 329-19)","대구광역시","AC완속","동대구복합환승센터",3
"","동구","대구환경공단","24시간","","대구광역시 동구 동부로 153별관2층(D15-18)(동구 신천동 329-19)","대구광역시","AC완속","동대구복합환승센터",4
"","북구","대구환경공단","24시간 이용가능","마트(쇼핑몰) 이용자, 상가 입주자로 사용 제한","대구광역시 북구 한강로8길 20동림플라자(금호동 802)","대구광역시","DC차데모+AC3상+DC콤보","동림플라자",1
"","중구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 중구 국채보상로142길 19-5동인동행정복지센터(318-5 동인동주민센터)","대구광역시","AC완속","동인동행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 대천로 81동천동행정복지센터(동천동 행정복지센터)","대구광역시","AC완속","동천동행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 효목동1025 (입구 진입후 주차장 2시방향 끝부분)","대구광역시","DC차데모+AC3상+DC콤보","동촌유원지 입구 주차장",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 성당로51길 32두류1,2동행정복지센터(841-6 두류1,2동행정복지센터)","대구광역시","AC완속","두류12동행정복지센터",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 공원순환로 216(달서구 성당동 195-11)","대구광역시","AC완속","두류공원",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 공원순환로 216(달서구 성당동 195-11)","대구광역시","AC완속","두류공원",2
"","달서구","대구환경공단","24시간","","대구광역시 달서구 공원순환로 216(달서구 성당동 195-11)","대구광역시","AC완속","두류공원",3
"","달서구","대구환경공단","24시간","","대구광역시 달서구 공원순환로 216(달서구 성당동 195-11)","대구광역시","AC완속","두류공원",4
"","수성구","대구환경공단","24시간","","대구광역시 수성구 두산동 954도로변","대구광역시","AC완속","두산오거리",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 두산동 954도로변","대구광역시","AC완속","두산오거리",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 두산동 954도로변","대구광역시","AC완속","두산오거리",3
"","수성구","대구환경공단","24시간","","대구광역시 수성구 두산동 954도로변","대구광역시","AC완속","두산오거리",4
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 무열로 12만촌2동행정복지센터(만촌2동 행정복지센터)","대구광역시","AC완속","만촌2동행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 교학로2길 45만촌3동행정복지센터(만촌3동 행정복지센터)","대구광역시","AC완속","만촌3동행정복지센터",1
"","북구","대구환경공단","24시간","","대구광역시 북구 태전동","대구광역시","AC완속","매천역환승공영주차장",1
"","북구","대구환경공단","24시간","","대구광역시 북구 태전동","대구광역시","AC완속","매천역환승공영주차장",2
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 달구벌대로 541길 47 (입구 진입후 죄회전 식당 주차장)","대구광역시","DC차데모+AC3상+DC콤보","명복공원 주차장",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 다사읍 문양리 470 (입구 좌측)(다사읍 문양리 470 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","문양역 야외주차장",1
"충전 1시간 무료, 주차요금 60%감면","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 신기동 174  (입구 우측)","대구광역시","DC차데모+AC3상+DC콤보","반야월공영주차장",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 복현로8길 16-5복현2동행정복지센터(복현2동 행정복지센터)","대구광역시","AC완속","복현2동행정복지센터",1
"충전 1시간 무료, 주차요금 60%감면","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 경진로남1길 40(1층 주차장 진입 후 우측)(북구 복현동  439-1(1층 주차장 진입 후 우측))","대구광역시","DC차데모+AC3상+DC콤보","복현장미공원",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 구마로26길 62본동행정복지센터(867-3 본동행정복지센터)","대구광역시","AC완속","본동행정복지센터",1
"","남구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 남구 이천로10길 50봉덕2동행정복지센터(540-1 봉덕2동주민센터)","대구광역시","AC완속","봉덕2동행정복지센터",1
"","북구","대구환경공단","24시간","","대구광역시 북구 옥산로 65(북구 침산3동 447-16)","대구광역시","DC차데모+AC3상+DC콤보","북구청",1
"","북구","대구환경공단","24시간","","대구광역시 북구 옥산로 65(북구 침산3동 447-16)","대구광역시","AC완속","북구청",2
"","동구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 동구 팔공로25길 16불로봉무동행정복지센터(434 불로봉무동행정복지센터)","대구광역시","AC완속","불로봉무동행정복지센터",1
"","서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 서구 북비산로65길 18비산1동행정복지센터(비산1동 주민센터)","대구광역시","AC완속","비산1동행정복지센터",1
"","서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 서구 국채보상로78길 29-4비산4동행정복지센터(비산4동 주민센터)","대구광역시","AC완속","비산4동행정복지센터",1
"충전 1시간 무료, 주차요금 60%감면","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가면 휴양림길236 (입구 좌측)(유가면 용리 15 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","비슬산자연휴양림공영주차장",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 동북로31길 30산격2동행정복지센터(산격2동 행정복지센터)","대구광역시","AC완속","산격2동행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 동대구로 457건물앞 도로변","대구광역시","DC차데모+AC3상+DC콤보","상공회의소",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 들안로9길 56상동행정복지센터(상동 행정복지센터)","대구광역시","AC완속","상동행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 상인서로 40상인1동행정복지센터(1528 상인1동행정복지센터)","대구광역시","AC완속","상인1동행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 상원로 27상인2동행정복지센터(1453-7 상인2동행정복지센터)","대구광역시","AC완속","상인2동행정복지센터",1
"","서구","대구환경공단","24시간 이용가능","","대구광역시 서구 중리동","대구광역시","DC차데모+AC3상+DC콤보","상중이동행정복지센터",1
"","서구","대구환경공단","24시간","","대구광역시 서구 문화로 72(서구 이현동 315-15)","대구광역시","DC차데모+AC3상+DC콤보","서구국민체육센터",1
"","서구","대구환경공단","24시간","","대구광역시 서구 국채보상로 257(서구 평리동 1230-9)","대구광역시","DC차데모+AC3상+DC콤보","서구청",1
"","서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 서구 국채보상로 124서대구산업단지 근로자복지회관(중리동 1082-8)","대구광역시","DC차데모+AC3상+DC콤보","서대구산업단지 근로자복지회관",1
"","중구","대구환경공단","07:00~19:00","","대구광역시 중구 큰장로26길 45, 지상2층(중구 대신동 115-378)","대구광역시","DC차데모+AC3상+DC콤보","서문주차빌딩(지상2층)",1
"","중구","대구환경공단","07:00~19:00","","대구광역시 중구 큰장로26길 45, 지상2층(중구 대신동 115-378)","대구광역시","AC완속","서문주차빌딩(지상2층)",2
"","중구","대구환경공단","07:00~19:00","","대구광역시 중구 큰장로26길 45, 지상2층(중구 대신동 115-378)","대구광역시","AC완속","서문주차빌딩(지상2층)",3
"","중구","대구환경공단","07:00~19:00","","대구광역시 중구 큰장로26길 45, 지상2층(중구 대신동 115-378)","대구광역시","AC완속","서문주차빌딩(지상2층)",4
"","달서구","대구환경공단","24시간","","대구광역시 달서구 용산동","대구광역시","AC완속","서부법원 앞",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 용산동","대구광역시","AC완속","서부법원 앞",2
"","달서구","대구환경공단","24시간","","대구광역시 달서구 용산동","대구광역시","AC완속","서부법원 앞",3
"","달서구","대구환경공단","24시간","","대구광역시 달서구 용산동","대구광역시","AC완속","서부법원 앞",4
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 야외음악당로 38성당동행정복지센터(434-3 성당동행정복지센터)","대구광역시","AC완속","성당동행정복지센터",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로22길25(달서구 월암동 1-18)","대구광역시","AC완속","성서체육공원주차장",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로22길25(달서구 월암동 1-18)","대구광역시","AC완속","성서체육공원주차장",2
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로22길25(달서구 월암동 1-18)","대구광역시","AC완속","성서체육공원주차장",3
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로22길25(달서구 월암동 1-18)","대구광역시","AC완속","성서체육공원주차장",4
"","달서구","대구환경공단","24시간","","대구광역시 달서구 달구벌대로 1467, 지하3층(달서구 용산동 230-11)","대구광역시","DC차데모+AC3상+DC콤보","성서홈플러스",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 달구벌대로 1467, 지하3층(달서구 용산동 230-11)","대구광역시","AC완속","성서홈플러스",2
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 중흥로8길 41송현1동행정복지센터(1995 송현1동행정복지센터)","대구광역시","AC완속","송현1동행정복지센터",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 2450(수성구 범어동 238-3)","대구광역시","DC차데모+AC3상+DC콤보","수성구청",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 2450(수성구 범어동 238-3)","대구광역시","AC완속","수성구청",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 529길","대구광역시","AC완속","수성대학교 입구 우",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 529길","대구광역시","AC완속","수성대학교 입구 우",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 528길","대구광역시","AC완속","수성대학교 입구 좌",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 528길","대구광역시","AC완속","수성대학교 입구 좌",2
"","수성구","대구환경공단","24시간 이용가능","공연장 공연 이용자로 제한","대구광역시 수성구 무학로 180수성아트피아(1137-3 수성아트피아)","대구광역시","DC차데모+AC3상+DC콤보","수성아트피아",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로 58(달서구 대천동 891)","대구광역시","DC차데모+AC3상+DC콤보","시설안전관리사업소",1
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로 58(달서구 대천동 891)","대구광역시","AC완속","시설안전관리사업소",2
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로 58(달서구 대천동 891)","대구광역시","AC완속","시설안전관리사업소",3
"","달서구","대구환경공단","24시간","","대구광역시 달서구 성서공단로 58(달서구 대천동 891)","대구광역시","AC완속","시설안전관리사업소",4
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 637길5(수성구 매호동 1330-2)","대구광역시","AC완속","시지근린공원",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 637길5(수성구 매호동 1330-2)","대구광역시","AC완속","시지근린공원",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 637길5(수성구 매호동 1330-2)","대구광역시","AC완속","시지근린공원",3
"","수성구","대구환경공단","24시간","","대구광역시 수성구 달구벌대로 637길5(수성구 매호동 1330-2)","대구광역시","AC완속","시지근린공원",4
"","북구","대구환경공단","24시간","","대구광역시 북구 연암로 60(북구 산격동 994-1)","대구광역시","DC차데모+AC3상+DC콤보","시청별관",1
"","북구","대구환경공단","24시간","","대구광역시 북구 연암로 60(북구 산격동 994-1)","대구광역시","AC완속","시청별관",2
"","북구","대구환경공단","24시간","","대구광역시 북구 연암로 60(북구 산격동 994-1)","대구광역시","AC완속","시청별관",3
"","북구","대구환경공단","24시간","","대구광역시 북구 연암로 60(북구 산격동 994-1)","대구광역시","AC완속","시청별관",4
"충전 1시간 무료, 주차요금 60%감면","수성구","대구환경공단","10:00~21:00","","대구광역시 수성구 신매동170-1 (입구 우회전 후 끝부분)","대구광역시","DC차데모+AC3상+DC콤보","신매공영주차장",1
"","동구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 동구 신암북로11길 6신암공원(676-1 금오아파트)","대구광역시","DC차데모+AC3상+DC콤보","신암공원",1
"","동구","대구환경공단","24시간 이용가능","공연장 공연 이용자로 제한","대구광역시 동구 효동로2길 24아양아트센터(1084 아양아트센터)","대구광역시","DC차데모+AC3상+DC콤보","아양아트센터",1
"","동구","대구환경공단","24시간 이용가능","공연장 공연 이용자로 제한","대구광역시 동구 효동로2길 24아양아트센터(1084 아양아트센터)","대구광역시","DC차데모+AC3상+DC콤보","아양아트센터",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 3공단로240(두산머신툴 우측 골목진입 아이빌 우측 뒤편 지상주차장)","대구광역시","DC차데모+AC3상+DC콤보","아이빌",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 공항로 255주 출입구 우측","대구광역시","DC차데모+AC3상+DC콤보","아주운수",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 동대구로 176(수성구 황금동 626)","대구광역시","AC완속","어린이회관",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 동대구로 176(수성구 황금동 626)","대구광역시","AC완속","어린이회관",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 동대구로 176(수성구 황금동 626)","대구광역시","AC완속","어린이회관",3
"","달성군","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달성군 옥포읍 비슬로 2215옥포읍행정복지센터(옥포읍사무소, 옥포119지역대)","대구광역시","AC완속","옥포읍행정복지센터",1
"","북구","대구환경공단","24시간","","대구광역시 북구 산격동 1671입구우측","대구광역시","AC완속","올브랜 주차장",1
"","북구","대구환경공단","24시간","","대구광역시 북구 산격동 1671입구우측","대구광역시","AC완속","올브랜 주차장",2
"","북구","대구환경공단","24시간","","대구광역시 북구 산격동 1671입구우측","대구광역시","AC완속","올브랜 주차장",3
"","수성구","대구환경공단","24시간","","대구광역시 수성구 미술관로40(수성구 삼덕동 374)","대구광역시","AC완속","외환들공영주차장",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 미술관로40(수성구 삼덕동 374)","대구광역시","AC완속","외환들공영주차장",2
"","수성구","대구환경공단","24시간","","대구광역시 수성구 미술관로40(수성구 삼덕동 374)","대구광역시","AC완속","외환들공영주차장",3
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 용산로 212-7용산1동행정복지센터(934-6 용산1동행정복지센터)","대구광역시","AC완속","용산1동행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 선원로278 (입구 정면)","대구광역시","DC차데모+AC3상+DC콤보","용산2동 행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 도원동 928 (입구 좌측)","대구광역시","DC차데모+AC3상+DC콤보","월광수변공원주차장",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 조암남로 97월성1동행정복지센터(1396-3 월성1동행정복지센터)","대구광역시","AC완속","월성1동행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 월성로 65월성2동행정복지센터(86-3 월성2동행정복지센터)","대구광역시","AC완속","월성2동행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 호국로57길6 (유니버시아드 센터 주차장)","대구광역시","DC차데모+AC3상+DC콤보","유니버시아드 레포츠센터",1
"","동구","대구환경공단","24시간","","대구광역시 동구 금호강변로278(동구 율하동 1626)","대구광역시","DC차데모+AC3상+DC콤보","율하체육공원3주차장",1
"","남구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 남구 이천로28길 18이천동행정복지센터(이천동 주민센터)","대구광역시","AC완속","이천동행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 수성로50길 38중동행정복지센터(중동 행정복지센터)","대구광역시","AC완속","중동행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 지범로21길 16지산1동행정복지센터(지산1동 행정복지센터)","대구광역시","AC완속","지산1동행정복지센터",1
"충전 1시간 무료, 주차요금 60%감면","수성구","대구환경공단","08:00~23:00","","대구광역시 수성구 용학로267 (지하 출구측)","대구광역시","DC차데모+AC3상+DC콤보","지산근린공원 주차장",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 진천동626-31 (주차장 입구 우측편)","대구광역시","DC차데모+AC3상+DC콤보","진천동 행정복지센터",1
"","수성구","대구환경공단","24시간","","대구광역시 수성구 동원로 84(수성구 만촌동 1429-9)","대구광역시","DC차데모+AC3상+DC콤보","차량등록사업소",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 성서로400 (입구 좌측)","대구광역시","DC차데모+AC3상+DC콤보","차량등록사업소 서부분소",1
"","동구","대구환경공단","24시간","","대구광역시 동구 첨복로 80(동구 동내동 1115-1)","대구광역시","DC차데모+AC3상+DC콤보","첨단의료산업진흥재단",1
"","서구","대구환경공단","24시간","","대구광역시 서구 상리동","대구광역시","DC차데모+AC3상+DC콤보","충전인프라 관제센터",1
"","서구","대구환경공단","24시간","","대구광역시 서구 상리동","대구광역시","AC완속","충전인프라 관제센터",2
"","서구","대구환경공단","24시간","","대구광역시 서구 상리동","대구광역시","AC완속","충전인프라 관제센터",3
"","서구","대구환경공단","24시간","","대구광역시 서구 상리동","대구광역시","AC완속","충전인프라 관제센터",4
"","남구","대구환경공단","24시간","","대구광역시 남구 앞산순화로 540(남구 대명9동 산186)","대구광역시","DC차데모+AC3상+DC콤보","충혼탑 주차장",1
"","남구","대구환경공단","24시간","","대구광역시 남구 앞산순화로 540(남구 대명9동 산186)","대구광역시","AC완속","충혼탑 주차장",2
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 파계로 686686 (입구 좌측 음수대 앞)","대구광역시","DC차데모+AC3상+DC콤보","파계사 공영주차장",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 파계로 686686 (입구 좌측 음수대 앞)","대구광역시","AC완속","파계사 공영주차장",2
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 파동로 174 (입구 우측)(수성구 파동 274 (입구 우측))","대구광역시","DC차데모+AC3상+DC콤보","파동교네거리주차장",1
"","북구","대구환경공단","24시간","","대구광역시 북구 유통단지로 14길 17(북구 산격동 1670)","대구광역시","DC차데모+AC3상+DC콤보","패션센터 주차장",1
"","서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 서구 문화로 280평리1동행정복지센터(평리1동 주민센터)","대구광역시","AC완속","평리1동행정복지센터",1
"","서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 서구 문화로 261평리3동행정복지센터(평리3동 주민센터)","대구광역시","AC완속","평리3동행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 관음로41 (건물 앞 주차장 우측 끝)","대구광역시","DC차데모+AC3상+DC콤보","한국도로공사 칠곡영업소",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 구지면 달성2차동1로109 (입구 좌측)(구지면 내리 840-3 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","한국산업단지 달성출장소",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 방촌로29길 4646 (입구 우측)","대구광역시","DC차데모+AC3상+DC콤보","해안동 행정복지센터",1
"","달성군","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달성군 현풍읍 비슬로134길 157현풍읍행정복지센터(352-2 현풍읍사무소)","대구광역시","AC완속","현풍읍행정복지센터",1
"","달성군","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달성군 화원읍 비슬로 2594화원읍행정복지센터(426-1 화원읍사무소)","대구광역시","AC완속","화원읍행정복지센터",1
"","동구","대구환경공단","24시간","","대구광역시 동구 금호강변로 91(동구 용계동 828-2)","대구광역시","DC차데모+AC3상+DC콤보","환경공단안심하수처리장",1
"","동구","대구환경공단","24시간","","대구광역시 동구 금호강변로 91(동구 용계동 828-2)","대구광역시","AC완속","환경공단안심하수처리장",2
"","동구","대구환경공단","24시간","","대구광역시 동구 금호강변로 91(동구 용계동 828-2)","대구광역시","AC완속","환경공단안심하수처리장",3
